ID compra,ID cliente,Programa de cashback,Edad,Sexo biológico,Evaluación de la compra
73,3575,No,35,Femenino,9
72,1374,Sí,25,Femenino,10
75,2146,No,41,Femenino,10
71,3982,No,42,Femenino,10
88,9221,No,47,Femenino,9
82,3498,No,46,Masculino,9
83,8576,Sí,34,Femenino,10
89,3242,Sí,27,Femenino,9
85,5974,Sí,33,Femenino,9
90,1772,No,50,Femenino,9
80,7139,No,48,Femenino,10
87,1059,No,57,Masculino,9
81,1094,No,39,Masculino,10
84,9588,No,40,Femenino,10
86,4948,No,55,Femenino,10
97,8432,Sí,35,Masculino,0
93,3952,Sí,31,Masculino,10
99,5238,No,45,Femenino,10
94,4153,No,38,Femenino,10
98,1885,No,52,Femenino,10
96,2686,Sí,34,Masculino,10
92,3320,Sí,24,Femenino,8
91,7183,Sí,36,Masculino,10
95,3183,No,51,Masculino,9
106,9154,Sí,39,Femenino,10
107,7553,Sí,26,Femenino,9
108,6447,Sí,35,Femenino,10
102,3897,Sí,40,Masculino,9
101,4420,Sí,39,Masculino,9
105,5964,No,19,Femenino,9
111,5602,No,23,Masculino,10
109,4421,Sí,28,Masculino,9
103,6010,Sí,35,Masculino,10
110,5354,Sí,28,Femenino,10
104,5465,No,26,Femenino,10
100,3289,Sí,39,Masculino,10
120,8299,No,42,Masculino,9
114,3823,No,45,Masculino,10
116,7459,No,33,Masculino,10
118,3890,Sí,26,Femenino,10
119,7813,No,50,Masculino,9
121,7813,No,50,Masculino,10
117,2995,No,54,Femenino,10
113,1338,No,31,Masculino,6
115,9165,Sí,36,Femenino,9
112,9768,No,41,Femenino,10
131,5222,No,56,Femenino,10
127,5247,No,47,Masculino,10
126,9629,No,26,Masculino,9
128,4982,Sí,33,Masculino,9
125,3158,Sí,39,Femenino,9
122,6344,Sí,25,Masculino,10
129,5980,Sí,37,Femenino,9
124,5981,Sí,29,Masculino,7
123,4111,No,41,Femenino,9
130,9074,No,38,Masculino,10
133,8066,Sí,40,Femenino,10
140,6447,Sí,35,Femenino,9
137,9665,No,50,Masculino,10
132,8585,Sí,36,Masculino,10
134,6377,No,43,Masculino,10
139,6875,No,29,Femenino,10
135,1552,Sí,39,Masculino,9
136,8989,Sí,38,Masculino,8
138,1809,Sí,39,Masculino,10
143,3129,No,48,Masculino,10
147,6228,No,57,Masculino,9
144,5142,No,44,Masculino,9
145,4230,No,33,Masculino,9
149,8456,No,32,Femenino,10
141,2307,Sí,26,Masculino,10
142,2943,Sí,21,Femenino,9
146,8682,No,35,Femenino,9
148,1567,No,38,Femenino,10
157,4158,No,27,Femenino,9
156,8280,Sí,30,Masculino,10
155,9487,No,25,Masculino,9
150,8016,Sí,28,Femenino,9
158,1948,Sí,32,Femenino,6
151,9905,Sí,25,Masculino,10
153,6455,No,58,Femenino,10
154,6770,Sí,31,Femenino,9
152,6064,Sí,37,Femenino,10
167,5686,No,60,Masculino,9
166,8799,No,45,Femenino,9
162,7786,No,49,Femenino,9
168,8925,No,40,Masculino,10
165,4093,No,53,Masculino,3
159,8145,Sí,29,Femenino,9
164,7516,No,55,Masculino,10
160,1210,No,41,Masculino,9
163,4248,Sí,20,Masculino,9
161,6086,No,35,Masculino,2
174,8813,Sí,30,Femenino,6
173,8411,Sí,33,Masculino,10
169,5286,No,45,Masculino,9
170,2792,No,60,Masculino,9
175,9736,No,45,Masculino,9
171,3217,No,27,Masculino,10
172,5463,No,45,Masculino,9
176,4178,No,28,Femenino,9
181,9697,Sí,30,Femenino,9
177,4079,Sí,34,Masculino,9
183,5768,Sí,35,Masculino,10
180,3945,No,45,Femenino,9
182,9316,No,42,Femenino,9
178,2714,No,43,Masculino,9
185,2226,No,62,Masculino,10
184,1213,Sí,28,Masculino,9
179,8209,Sí,29,Femenino,9
186,4997,No,49,Masculino,10
188,7165,No,50,Femenino,9
196,6431,No,27,Masculino,9
194,1217,No,40,Femenino,10
195,7799,Sí,22,Femenino,10
187,9795,No,45,Femenino,10
192,4335,No,45,Masculino,10
189,2292,No,62,Femenino,9
191,1052,No,48,Femenino,10
197,9907,Sí,28,Masculino,10
190,4239,No,49,Femenino,9
198,9923,No,48,Masculino,9
193,9483,No,46,Femenino,10
199,5531,Sí,25,Masculino,10
202,9240,No,46,Masculino,10
205,6452,Sí,34,Femenino,9
207,2076,No,42,Masculino,10
200,5512,Sí,29,Femenino,9
201,1603,No,47,Femenino,10
206,8448,No,45,Masculino,10
204,5695,Sí,37,Femenino,9
203,8590,No,48,Femenino,10
208,1063,Sí,27,Masculino,9
212,9097,Sí,34,Masculino,10
211,4176,Sí,36,Masculino,9
220,8260,No,42,Femenino,9
215,2786,Sí,32,Masculino,2
213,7014,Sí,38,Masculino,1
210,7394,No,44,Masculino,9
217,3522,Sí,34,Femenino,10
216,1998,No,43,Masculino,5
209,4404,No,27,Masculino,9
219,5039,No,29,Masculino,9
218,6938,Sí,33,Masculino,9
214,9738,No,35,Masculino,9
224,2750,No,41,Masculino,10
228,2653,Sí,28,Masculino,3
225,7868,No,48,Femenino,10
227,7023,No,49,Masculino,9
229,7443,No,45,Femenino,9
222,9524,No,33,Femenino,10
223,2481,Sí,34,Femenino,9
226,7790,No,29,Femenino,9
221,6501,No,42,Femenino,9
240,6690,No,26,Femenino,10
234,1515,No,44,Femenino,5
232,3532,No,24,Masculino,9
241,5877,Sí,32,Femenino,10
233,1464,No,41,Masculino,9
238,2921,Sí,36,Femenino,9
236,4305,Sí,36,Femenino,9
230,5954,Sí,28,Femenino,9
231,8279,Sí,40,Femenino,9
237,7659,Sí,39,Masculino,9
235,6990,No,25,Masculino,10
239,8339,No,40,Femenino,10
245,6618,No,48,Masculino,3
246,3258,No,50,Masculino,9
244,7022,No,52,Masculino,7
249,4896,No,31,Femenino,10
250,8034,No,35,Femenino,10
252,9310,Sí,38,Femenino,10
251,6475,No,55,Femenino,10
247,1799,Sí,31,Femenino,9
248,7295,Sí,30,Femenino,9
242,3924,Sí,39,Femenino,9
243,9279,No,43,Femenino,10
258,7748,No,46,Femenino,10
254,9535,No,40,Masculino,9
257,5832,No,47,Femenino,10
259,7745,No,44,Masculino,9
255,5529,No,48,Femenino,9
253,7127,No,38,Femenino,9
260,5015,No,33,Femenino,6
256,8327,Sí,25,Femenino,10
267,7077,No,48,Femenino,9
263,9684,No,49,Femenino,9
261,3648,No,39,Femenino,5
264,2720,No,43,Femenino,9
266,2573,Sí,23,Masculino,9
268,9423,Sí,37,Masculino,10
265,6998,Sí,27,Femenino,2
262,9219,No,48,Femenino,9
272,6307,No,18,Masculino,10
270,9127,No,44,Femenino,9
275,1152,No,25,Masculino,9
269,7292,No,48,Masculino,9
277,5415,No,45,Masculino,10
273,6623,No,52,Masculino,10
274,1656,Sí,31,Masculino,10
271,5035,No,45,Masculino,10
276,2780,No,48,Femenino,9
284,5207,No,50,Masculino,10
278,7884,No,43,Femenino,4
282,1711,No,43,Masculino,1
285,1303,No,43,Femenino,10
280,2158,No,55,Femenino,10
283,1651,No,45,Masculino,10
281,4762,No,57,Femenino,10
279,4405,No,47,Femenino,10
288,2158,No,55,Femenino,2
291,7520,Sí,23,Femenino,9
287,5814,No,52,Masculino,9
286,8873,No,41,Masculino,10
293,7816,Sí,19,Femenino,10
294,4101,No,46,Femenino,9
292,9412,No,41,Masculino,10
290,8736,No,47,Masculino,10
289,4905,No,40,Masculino,9
303,3967,Sí,18,Masculino,10
301,9104,No,55,Masculino,9
295,6977,Sí,32,Masculino,10
297,2283,Sí,33,Masculino,10
298,5298,Sí,34,Masculino,9
302,7275,Sí,28,Femenino,9
296,4627,Sí,32,Masculino,9
300,9723,No,44,Masculino,10
299,6722,No,41,Masculino,10
313,9586,No,41,Femenino,9
311,3128,Sí,30,Femenino,9
308,8903,Sí,35,Masculino,9
310,4535,No,23,Masculino,10
312,5663,No,47,Femenino,10
307,6518,Sí,33,Masculino,8
305,3149,Sí,18,Femenino,9
309,5632,Sí,21,Masculino,10
304,7393,No,55,Masculino,10
306,4943,No,27,Femenino,9
324,5506,Sí,31,Femenino,9
318,8940,No,50,Femenino,10
317,2626,No,42,Masculino,9
322,7251,No,56,Masculino,10
314,2096,No,57,Masculino,9
315,9809,Sí,29,Femenino,10
323,6953,Sí,33,Masculino,10
316,2782,Sí,29,Femenino,10
321,5906,Sí,34,Femenino,10
319,3254,Sí,38,Masculino,10
320,1982,Sí,40,Masculino,9
332,3561,Sí,29,Femenino,10
326,6931,Sí,34,Masculino,10
325,8376,No,44,Masculino,9
328,7475,Sí,32,Femenino,9
329,6051,No,41,Femenino,9
333,6695,Sí,23,Femenino,9
331,1100,No,52,Masculino,10
327,8862,No,51,Femenino,10
330,2278,No,41,Masculino,10
338,4967,No,52,Masculino,9
340,2334,Sí,29,Femenino,10
336,2131,No,52,Masculino,9
339,4796,No,30,Femenino,9
343,3299,Sí,27,Masculino,9
335,5462,Sí,32,Masculino,9
344,3495,No,45,Masculino,10
334,8399,No,36,Femenino,9
337,2502,No,50,Femenino,9
342,6281,Sí,34,Femenino,9
345,9276,No,44,Masculino,9
341,6678,No,41,Masculino,10
354,4169,Sí,35,Femenino,10
348,3645,No,43,Masculino,5
355,9259,Sí,31,Masculino,10
356,8769,No,47,Femenino,9
352,8746,No,47,Femenino,10
349,4045,No,45,Femenino,4
347,2268,No,41,Femenino,9
353,7724,Sí,35,Femenino,9
350,9907,Sí,28,Masculino,10
346,5983,No,18,Femenino,9
351,1476,Sí,39,Masculino,9
358,6008,No,30,Femenino,2
362,6885,No,42,Femenino,7
359,7068,No,39,Femenino,9
360,2078,No,43,Femenino,6
363,5237,No,41,Femenino,9
365,7412,No,46,Masculino,10
361,6760,No,56,Masculino,10
364,5198,No,22,Femenino,9
357,7201,No,41,Femenino,10
369,1596,No,49,Femenino,7
366,1559,No,43,Masculino,10
372,1361,No,46,Masculino,10
371,9808,No,47,Femenino,6
368,9044,No,55,Femenino,9
376,2981,No,42,Masculino,9
370,5580,No,52,Femenino,10
367,5678,No,44,Femenino,9
374,5136,No,56,Masculino,9
373,4404,No,27,Masculino,9
375,1378,No,42,Femenino,10
388,5096,No,57,Femenino,10
387,5320,Sí,34,Masculino,10
377,9878,Sí,18,Masculino,4
384,4582,Sí,26,Masculino,10
385,9691,Sí,18,Masculino,9
380,7959,Sí,30,Femenino,9
379,6683,Sí,40,Femenino,10
378,9555,No,46,Femenino,9
383,3107,Sí,39,Femenino,9
382,6384,Sí,35,Femenino,10
386,4217,Sí,29,Femenino,5
381,1464,No,41,Masculino,6
396,4057,Sí,40,Masculino,9
394,9712,Sí,31,Masculino,9
393,9319,No,47,Femenino,9
392,4982,Sí,33,Masculino,9
389,4524,Sí,36,Masculino,1
390,3821,No,47,Femenino,10
395,2891,No,45,Masculino,10
391,1593,No,42,Femenino,9
400,2337,Sí,37,Femenino,6
404,9001,No,38,Femenino,10
397,1886,No,44,Masculino,9
398,8039,No,50,Masculino,10
402,4267,Sí,32,Femenino,9
401,7740,No,44,Masculino,1
399,2406,Sí,30,Masculino,2
403,7399,Sí,20,Femenino,10
412,1565,Sí,34,Masculino,9
413,3855,No,49,Femenino,9
415,2420,Sí,39,Masculino,10
405,5711,Sí,33,Femenino,9
408,8205,Sí,30,Masculino,9
414,9624,Sí,18,Masculino,9
409,5267,No,49,Masculino,10
407,9618,No,54,Femenino,10
410,8421,Sí,31,Femenino,10
406,7905,No,50,Masculino,9
411,5200,No,59,Masculino,10
422,2416,Sí,24,Masculino,9
420,3605,No,54,Femenino,10
417,5732,No,49,Masculino,9
424,7464,No,42,Masculino,9
423,5587,No,52,Femenino,9
419,5982,Sí,18,Femenino,9
416,7320,No,52,Masculino,10
421,4662,No,57,Femenino,10
418,7383,No,61,Masculino,10
430,5179,Sí,30,Femenino,9
433,9496,No,43,Masculino,9
426,4486,Sí,35,Masculino,3
428,6195,No,49,Femenino,7
425,4316,No,37,Femenino,10
431,7952,Sí,40,Femenino,9
429,4293,No,43,Femenino,9
427,4209,No,41,Femenino,10
434,5275,No,39,Femenino,10
432,4878,Sí,36,Femenino,9
435,8253,Sí,38,Masculino,9
436,7101,No,42,Femenino,9
437,2676,No,52,Masculino,10
443,1696,Sí,33,Masculino,9
442,7574,No,41,Femenino,10
440,4425,Sí,30,Femenino,9
444,1228,No,41,Masculino,7
438,5392,Sí,27,Masculino,9
441,4119,No,45,Femenino,9
439,9110,No,42,Masculino,9
455,5771,Sí,40,Masculino,9
445,9591,Sí,39,Masculino,10
448,2745,No,50,Femenino,10
454,3019,No,42,Femenino,9
450,1494,No,51,Femenino,10
446,7956,No,28,Masculino,9
453,1433,No,43,Femenino,9
449,4301,Sí,36,Femenino,9
447,7748,No,46,Femenino,9
451,3212,Sí,37,Femenino,10
452,7422,No,30,Masculino,9
458,3325,No,45,Masculino,6
465,4788,Sí,35,Masculino,9
460,1235,No,34,Femenino,10
462,5624,No,44,Masculino,9
463,8950,No,45,Femenino,10
466,5965,Sí,26,Femenino,10
457,7282,Sí,37,Masculino,10
467,3722,No,51,Femenino,4
459,7852,No,34,Femenino,10
456,6710,No,52,Femenino,4
461,3814,Sí,28,Masculino,6
464,1126,Sí,29,Femenino,9
470,6235,No,48,Femenino,9
468,4770,Sí,34,Femenino,10
474,2383,No,48,Femenino,10
471,3039,No,43,Femenino,10
475,6917,No,45,Femenino,10
469,6371,No,54,Femenino,10
472,6003,No,48,Femenino,9
473,1172,No,35,Masculino,9
481,5506,Sí,31,Femenino,9
478,9693,No,48,Masculino,10
484,6285,Sí,18,Masculino,10
476,2967,Sí,31,Masculino,9
483,3332,No,44,Femenino,9
479,7208,No,42,Femenino,9
477,8015,Sí,33,Masculino,9
480,4160,Sí,36,Masculino,10
482,7315,No,36,Femenino,9
492,8426,No,26,Femenino,5
486,6607,Sí,24,Femenino,10
485,8778,Sí,35,Femenino,9
489,6595,Sí,24,Femenino,10
487,1695,Sí,35,Femenino,7
490,9619,No,52,Femenino,10
488,1815,Sí,31,Masculino,9
491,9864,Sí,38,Femenino,10
497,2923,Sí,33,Femenino,10
496,5375,No,30,Femenino,10
500,4355,Sí,37,Femenino,9
493,6286,Sí,32,Femenino,9
502,4287,No,49,Femenino,10
494,5485,No,47,Masculino,10
499,3261,No,60,Femenino,10
501,3136,Sí,39,Masculino,9
498,2069,No,42,Masculino,9
495,5355,Sí,34,Femenino,10
511,8588,Sí,25,Femenino,10
508,9986,No,42,Femenino,9
505,3276,Sí,39,Masculino,9
507,9416,Sí,22,Masculino,10
503,1176,No,45,Femenino,10
509,1537,Sí,26,Femenino,9
510,1468,Sí,33,Femenino,5
506,8201,Sí,28,Masculino,9
513,1861,No,57,Masculino,10
512,8511,No,37,Femenino,9
504,8387,No,18,Masculino,9
518,5886,Sí,32,Femenino,10
514,7307,No,47,Masculino,9
521,9597,Sí,40,Femenino,0
515,7857,No,48,Femenino,9
516,7848,Sí,34,Femenino,4
522,8075,Sí,25,Masculino,9
517,5336,Sí,33,Masculino,9
520,7270,No,39,Femenino,9
519,9538,No,37,Femenino,10
527,2982,No,52,Femenino,9
524,6046,Sí,35,Masculino,9
531,5938,No,45,Femenino,10
526,5136,No,56,Masculino,10
533,6636,Sí,40,Femenino,6
529,8303,Sí,33,Femenino,10
532,7801,No,41,Femenino,10
523,6627,No,68,Femenino,10
528,1380,No,50,Masculino,10
525,8547,No,37,Femenino,9
530,1601,No,25,Masculino,10
537,2385,Sí,39,Femenino,9
538,2694,Sí,18,Masculino,9
535,6350,No,41,Femenino,10
541,5555,No,56,Masculino,9
539,3793,Sí,32,Masculino,9
534,2417,No,47,Femenino,10
536,5454,No,22,Masculino,9
540,8116,Sí,35,Femenino,10
542,5445,No,43,Masculino,10
543,7187,No,25,Masculino,10
546,5430,Sí,35,Masculino,9
548,1425,No,42,Femenino,10
550,8465,No,41,Masculino,9
549,2229,No,47,Femenino,10
545,9406,Sí,25,Masculino,10
551,1351,No,55,Femenino,10
544,6728,No,63,Masculino,9
547,6377,No,43,Masculino,10
552,8170,No,41,Masculino,10
559,1298,Sí,36,Masculino,10
554,7188,Sí,18,Masculino,10
557,4400,Sí,39,Femenino,4
561,5988,No,42,Masculino,10
553,3481,Sí,35,Masculino,10
555,1541,Sí,19,Femenino,9
563,5885,No,31,Masculino,1
564,5587,No,52,Femenino,10
556,4532,No,44,Femenino,9
560,9014,Sí,35,Femenino,6
562,6191,Sí,35,Femenino,7
558,7876,Sí,21,Femenino,9
573,5939,No,38,Femenino,6
571,1424,No,45,Masculino,10
565,8263,No,44,Masculino,2
575,4907,No,21,Femenino,10
576,8330,Sí,27,Femenino,10
567,3119,Sí,18,Masculino,0
568,4628,Sí,18,Femenino,10
574,9894,Sí,36,Femenino,10
569,7761,No,52,Femenino,10
572,9542,No,46,Femenino,9
566,5125,No,47,Masculino,9
570,9056,No,55,Femenino,9
579,4872,Sí,33,Masculino,9
577,5205,Sí,34,Femenino,10
582,5809,No,39,Masculino,9
578,3833,No,25,Femenino,9
583,9841,Sí,39,Femenino,10
581,5879,No,38,Masculino,9
580,7835,Sí,32,Masculino,10
584,5225,No,48,Femenino,9
589,8448,No,45,Masculino,10
586,7736,Sí,31,Femenino,9
587,6402,Sí,34,Masculino,10
585,7177,Sí,40,Femenino,10
591,1502,No,20,Femenino,9
592,1380,No,50,Masculino,10
590,7587,Sí,18,Masculino,10
588,4092,Sí,28,Masculino,6
600,5964,No,19,Femenino,9
596,4660,No,49,Masculino,10
597,8699,Sí,28,Femenino,5
593,1857,Sí,35,Masculino,9
601,2231,No,22,Femenino,9
599,4502,Sí,18,Femenino,10
594,4329,No,38,Masculino,9
598,7417,No,42,Femenino,10
595,2744,Sí,30,Masculino,9
602,1650,No,37,Femenino,9
608,3029,Sí,30,Femenino,10
607,8499,No,42,Masculino,9
603,4365,No,37,Masculino,3
605,6236,No,46,Femenino,9
606,8806,No,52,Masculino,10
609,5822,No,41,Masculino,9
604,1711,No,43,Masculino,9
611,8060,Sí,27,Masculino,9
617,2489,No,51,Femenino,10
618,5041,Sí,29,Masculino,10
613,4909,No,52,Femenino,10
610,1556,Sí,37,Femenino,6
616,8104,No,42,Masculino,9
614,2515,No,46,Femenino,9
615,5279,No,40,Femenino,10
612,2423,No,48,Masculino,9
625,7298,Sí,36,Masculino,9
623,6786,Sí,27,Masculino,9
630,9242,No,60,Masculino,9
619,8570,No,23,Masculino,10
624,3144,No,27,Femenino,9
628,1882,No,41,Femenino,7
629,1169,Sí,36,Masculino,10
626,8966,No,50,Femenino,8
621,9457,No,21,Femenino,9
620,5454,No,22,Masculino,10
627,8154,No,36,Masculino,10
622,4926,Sí,38,Masculino,9
635,4757,No,58,Masculino,10
633,8293,No,49,Femenino,9
634,9103,No,31,Femenino,10
637,2095,Sí,40,Femenino,10
636,6861,Sí,33,Masculino,10
638,8577,No,45,Masculino,9
632,7304,Sí,33,Masculino,9
631,7840,Sí,22,Masculino,10
644,9736,No,45,Masculino,9
642,7151,Sí,25,Femenino,10
646,2533,No,36,Masculino,10
639,4636,Sí,36,Femenino,10
645,2756,No,45,Masculino,9
647,4744,No,43,Femenino,9
640,7901,No,52,Femenino,9
643,6406,Sí,34,Masculino,10
641,3971,Sí,19,Masculino,9
653,5259,No,26,Masculino,9
651,2294,Sí,32,Femenino,10
648,3309,No,44,Femenino,3
654,1977,Sí,37,Femenino,9
649,6903,No,57,Femenino,9
652,3651,Sí,21,Masculino,9
655,9084,No,44,Femenino,9
650,1532,Sí,38,Masculino,10
662,5087,Sí,36,Femenino,9
663,1330,No,50,Femenino,9
657,6178,No,51,Femenino,10
659,7068,No,39,Femenino,9
665,6162,No,34,Masculino,10
658,6887,Sí,40,Femenino,9
661,9598,No,41,Masculino,9
656,4450,No,43,Masculino,10
660,6471,Sí,27,Femenino,10
666,2721,No,51,Femenino,10
664,4130,No,52,Masculino,10
677,8991,No,31,Masculino,6
671,6428,Sí,32,Femenino,9
667,8149,No,48,Femenino,9
675,3456,Sí,39,Masculino,10
674,7117,No,45,Masculino,9
672,5035,No,45,Masculino,10
669,2099,No,59,Femenino,9
676,8970,No,44,Femenino,10
668,2910,Sí,35,Masculino,10
673,2471,No,47,Femenino,9
670,1715,Sí,35,Femenino,10
681,5422,No,50,Femenino,10
684,2649,Sí,40,Masculino,9
679,2901,No,49,Masculino,9
685,5518,No,51,Masculino,9
680,5400,No,36,Masculino,9
688,5731,Sí,35,Masculino,10
682,4575,Sí,30,Masculino,10
683,4167,Sí,34,Masculino,2
686,4071,Sí,31,Femenino,10
678,4343,No,39,Femenino,10
687,7583,No,44,Femenino,6
692,2126,No,41,Femenino,10
695,2885,No,39,Femenino,7
696,2109,Sí,23,Masculino,8
690,2857,No,47,Femenino,9
691,1396,No,47,Femenino,10
689,9737,Sí,35,Femenino,10
693,6448,Sí,28,Femenino,9
697,8457,No,42,Femenino,10
698,6625,Sí,21,Femenino,10
694,7930,Sí,30,Femenino,3
706,7337,Sí,30,Femenino,9
704,5571,Sí,22,Femenino,10
703,9821,No,48,Masculino,10
705,1562,No,18,Femenino,10
699,2939,No,54,Femenino,3
701,8079,Sí,31,Femenino,9
707,6672,No,44,Femenino,10
702,3717,No,18,Masculino,3
708,1772,No,50,Femenino,10
709,3162,Sí,32,Femenino,10
700,3769,Sí,29,Femenino,10
717,7518,No,54,Masculino,9
713,9465,No,44,Masculino,10
715,8135,No,23,Femenino,8
716,3912,No,46,Femenino,2
720,8470,No,50,Masculino,6
719,5583,No,54,Masculino,10
712,2984,No,41,Femenino,10
718,9679,Sí,35,Masculino,10
710,2546,Sí,34,Femenino,10
711,2927,No,42,Masculino,9
714,4232,Sí,40,Masculino,9
725,9435,No,50,Masculino,9
726,2620,No,32,Masculino,10
724,6198,Sí,38,Femenino,10
727,2198,Sí,29,Femenino,10
728,1501,No,43,Masculino,10
721,4935,No,41,Masculino,6
722,3775,Sí,30,Femenino,9
723,7205,Sí,40,Femenino,10
740,5145,Sí,35,Femenino,9
732,3983,No,55,Masculino,9
735,9347,No,46,Masculino,9
739,1130,No,27,Masculino,9
734,8488,No,48,Femenino,10
729,5227,No,41,Masculino,10
738,4084,No,37,Femenino,10
730,4194,No,32,Masculino,10
737,6064,Sí,37,Femenino,10
736,2150,Sí,37,Femenino,10
731,8981,No,53,Masculino,10
733,2965,No,49,Masculino,9
743,5292,No,43,Masculino,10
741,2933,No,55,Femenino,10
747,1141,No,47,Femenino,9
749,7808,No,53,Femenino,10
745,1260,Sí,34,Masculino,10
744,8355,No,45,Masculino,9
746,5714,Sí,21,Femenino,10
748,4920,No,35,Femenino,9
742,4942,No,55,Femenino,9
752,4348,No,34,Femenino,9
755,9619,No,52,Femenino,9
758,3503,No,46,Masculino,7
754,5442,No,44,Femenino,10
757,7739,No,50,Femenino,5
759,7050,Sí,29,Masculino,10
751,9600,No,54,Femenino,10
750,9367,No,56,Femenino,9
756,9555,No,46,Femenino,7
753,1226,No,49,Femenino,10
764,2700,No,35,Femenino,9
763,1899,No,41,Femenino,10
761,4004,Sí,29,Femenino,9
760,3442,Sí,31,Masculino,9
766,7836,Sí,38,Masculino,10
770,4641,Sí,19,Masculino,10
769,8621,No,49,Masculino,10
768,9390,No,47,Femenino,10
762,4450,No,43,Masculino,9
765,9645,No,29,Femenino,10
767,1366,No,29,Femenino,9
776,9711,No,23,Femenino,9
779,4901,No,47,Femenino,10
773,3046,No,44,Femenino,10
774,8195,No,40,Femenino,9
777,7055,Sí,31,Femenino,10
772,9735,No,34,Masculino,10
771,9797,No,48,Femenino,9
775,2003,No,47,Masculino,10
780,5304,No,46,Masculino,9
778,7794,Sí,25,Masculino,10
790,8675,Sí,20,Masculino,10
781,1573,No,55,Femenino,10
786,8746,No,47,Femenino,8
785,8156,No,34,Masculino,9
788,4494,No,43,Femenino,9
789,1211,Sí,27,Masculino,10
784,2574,Sí,32,Masculino,10
792,9598,No,41,Masculino,10
787,5651,No,18,Masculino,10
791,7430,Sí,35,Femenino,9
783,3504,Sí,35,Masculino,9
782,8727,No,51,Femenino,10
797,1689,Sí,19,Masculino,9
795,7771,Sí,29,Femenino,10
802,8509,No,39,Masculino,9
801,4448,No,55,Masculino,9
794,1032,Sí,39,Femenino,10
796,1633,No,38,Femenino,10
799,4834,No,19,Femenino,9
803,6746,Sí,39,Femenino,9
793,2454,No,41,Femenino,9
798,1451,Sí,38,Masculino,10
800,2466,Sí,40,Femenino,10
812,6864,Sí,39,Masculino,10
807,8595,Sí,34,Femenino,9
805,9153,No,34,Masculino,9
814,7742,Sí,39,Masculino,9
806,3305,No,43,Masculino,9
810,3957,Sí,28,Masculino,9
808,7389,Sí,39,Masculino,10
809,2149,Sí,31,Masculino,10
813,7108,No,49,Masculino,4
811,2704,No,53,Femenino,10
804,4356,No,38,Masculino,9
820,5529,No,48,Femenino,10
818,2957,No,38,Masculino,9
816,3294,Sí,28,Masculino,9
815,4564,No,50,Masculino,10
819,2879,Sí,38,Masculino,9
822,9124,No,48,Masculino,10
821,2089,No,46,Femenino,10
823,5343,No,44,Femenino,9
817,4272,No,45,Femenino,9
827,4855,No,48,Masculino,4
825,1671,Sí,37,Femenino,10
828,8291,Sí,34,Masculino,9
829,1166,No,55,Femenino,4
833,5391,No,42,Femenino,8
