ID compra,Unidad,Ciudad,Fecha,Horario,Categoría del producto,Precio unitario,Cantidad,Método de pago
85,Aurora,Santa Rosa,1/12/2022,14:23,Alimentos y bebidas,"62,9",1,Tarjeta
90,Estrella,San Antonio,1/12/2022,13:40,Casa y limpieza,"168,9",5,PIX
80,Estrella,San Antonio,1/12/2022,9:53,Belleza y cuidado personal,"202,9",2,PIX
87,Aurora,Santa Rosa,1/12/2022,19:43,Alimentos y bebidas,"75,9",1,Dinero
81,Estrella,San Antonio,1/12/2022,12:01,Alimentos y bebidas,"68,9",4,PIX
84,Aurora,Santa Rosa,1/12/2022,18:50,Alimentos y bebidas,"78,9",2,PIX
86,Estrella,San Antonio,1/12/2022,19:45,Belleza y cuidado personal,"164,9",1,Dinero
97,Aurora,Santa Rosa,1/13/2022,18:53,Alimentos y bebidas,"54,9",3,PIX
93,Estrella,San Antonio,1/13/2022,16:25,Electrónicos,"5873,9",1,Tarjeta
99,Parque de las Naciones,El Carmen,1/13/2022,19:48,Belleza y cuidado personal,"214,9",1,PIX
94,Aurora,Santa Rosa,1/13/2022,13:24,Belleza y cuidado personal,"114,9",1,Tarjeta
98,Estrella,San Antonio,1/13/2022,18:21,Herramientas y construcción,"87,9",4,Tarjeta
96,Parque de las Naciones,El Carmen,1/13/2022,17:26,Alimentos y bebidas,"48,9",3,Tarjeta
92,Estrella,San Antonio,1/13/2022,16:28,Herramientas y construcción,"52,9",2,PayPal
91,Estrella,San Antonio,1/13/2022,9:08,Casa y limpieza,"150,9",1,PIX
95,Aurora,Santa Rosa,1/13/2022,16:11,Belleza y cuidado personal,"240,9",3,Tarjeta
106,Parque de las Naciones,El Carmen,1/14/2022,14:05,Alimentos y bebidas,92,4,PIX
107,Aurora,Santa Rosa,1/14/2022,11:21,Papelería y oficina,"49,9",4,Tarjeta
108,Parque de las Naciones,El Carmen,1/14/2022,14:30,Libros,"87,9",5,Tarjeta
102,Aurora,Santa Rosa,1/14/2022,18:21,Papelería y oficina,"45,9",5,Tarjeta
101,Estrella,San Antonio,1/14/2022,16:49,Belleza y cuidado personal,"242,9",4,PIX
105,Parque de las Naciones,El Carmen,1/14/2022,17:58,Belleza y cuidado personal,"235,9",3,PayPal
111,Aurora,Santa Rosa,1/14/2022,13:38,Alimentos y bebidas,"34,9",2,Tarjeta
109,Aurora,Santa Rosa,1/14/2022,13:46,Belleza y cuidado personal,"53,9",2,PayPal
103,Parque de las Naciones,El Carmen,1/14/2022,16:56,Libros,"108,9",4,Tarjeta
110,Estrella,San Antonio,1/14/2022,17:04,Electrónicos,"6853,9",4,PayPal
104,Estrella,San Antonio,1/14/2022,10:35,Alimentos y bebidas,"99,9",3,Tarjeta
100,Aurora,Santa Rosa,1/14/2022,12:59,Electrónicos,"2251,9",1,PIX
120,Estrella,San Antonio,1/15/2022,19:53,Electrónicos,"1684,9",3,Tarjeta
114,Aurora,Santa Rosa,1/15/2022,18:44,Electrónicos,"7316,9",4,PIX
116,Estrella,San Antonio,1/15/2022,16:03,Alimentos y bebidas,"7,9",4,Tarjeta
118,Parque de las Naciones,El Carmen,1/15/2022,9:22,Papelería y oficina,"18,9",3,Tarjeta
119,Estrella,San Antonio,1/15/2022,17:49,Papelería y oficina,"2,9",4,PIX
121,Parque de las Naciones,El Carmen,1/15/2022,11:59,Electrónicos,"6422,9",2,Tarjeta
117,Estrella,San Antonio,1/15/2022,16:39,Casa y limpieza,"117,9",5,Tarjeta
113,Estrella,San Antonio,1/15/2022,16:46,Casa y limpieza,"40,9",4,Tarjeta
115,Parque de las Naciones,El Carmen,1/15/2022,10:03,Belleza y cuidado personal,"63,9",5,PIX
112,Parque de las Naciones,El Carmen,1/15/2022,12:28,Belleza y cuidado personal,"138,9",5,PIX
131,Aurora,Santa Rosa,1/17/2022,11:40,Casa y limpieza,"84,9",5,Dinero
127,Parque de las Naciones,El Carmen,1/17/2022,18:55,Alimentos y bebidas,"65,9",1,Tarjeta
126,Parque de las Naciones,El Carmen,1/17/2022,18:25,Herramientas y construcción,"126,9",1,Tarjeta
128,Estrella,San Antonio,1/17/2022,18:29,Alimentos y bebidas,"60,9",4,Tarjeta
125,Parque de las Naciones,El Carmen,1/17/2022,10:15,Papelería y oficina,"7,9",4,Tarjeta
122,Parque de las Naciones,El Carmen,1/17/2022,16:33,Casa y limpieza,"98,9",4,Tarjeta
129,Parque de las Naciones,El Carmen,1/17/2022,18:59,Alimentos y bebidas,61,3,PIX
124,Estrella,San Antonio,1/17/2022,15:35,Belleza y cuidado personal,"204,9",1,Tarjeta
123,Aurora,Santa Rosa,1/17/2022,19:04,Casa y limpieza,"66,9",3,Tarjeta
130,Estrella,San Antonio,1/17/2022,17:32,Electrónicos,"7581,9",2,PIX
133,Aurora,Santa Rosa,1/18/2022,13:31,Casa y limpieza,"198,9",3,PIX
140,Aurora,Santa Rosa,1/18/2022,17:09,Belleza y cuidado personal,"20,9",1,PayPal
137,Parque de las Naciones,El Carmen,1/18/2022,17:53,Papelería y oficina,"35,9",2,PIX
132,Parque de las Naciones,El Carmen,1/18/2022,10:54,Electrónicos,"7708,9",1,Tarjeta
134,Aurora,Santa Rosa,1/18/2022,18:54,Belleza y cuidado personal,"199,9",4,Tarjeta
139,Aurora,Santa Rosa,1/18/2022,19:40,Casa y limpieza,"174,9",4,PayPal
135,Estrella,San Antonio,1/18/2022,13:30,Alimentos y bebidas,"23,9",4,PIX
136,Estrella,San Antonio,1/18/2022,12:36,Papelería y oficina,"36,9",5,PIX
138,Aurora,Santa Rosa,1/18/2022,12:37,Alimentos y bebidas,"73,9",2,PIX
143,Aurora,Santa Rosa,1/19/2022,13:39,Papelería y oficina,"43,9",2,PIX
147,Parque de las Naciones,El Carmen,1/19/2022,12:23,Alimentos y bebidas,"61,9",5,Dinero
144,Parque de las Naciones,El Carmen,1/19/2022,12:36,Electrónicos,"340,9",4,PIX
145,Estrella,San Antonio,1/19/2022,17:37,Casa y limpieza,"187,9",4,PIX
149,Parque de las Naciones,El Carmen,1/19/2022,18:02,Electrónicos,"7640,9",2,PIX
141,Parque de las Naciones,El Carmen,1/19/2022,17:02,Alimentos y bebidas,"24,9",1,PayPal
142,Aurora,Santa Rosa,1/19/2022,13:47,Alimentos y bebidas,"52,9",5,PayPal
146,Estrella,San Antonio,1/19/2022,17:29,Electrónicos,"7581,9",1,Tarjeta
148,Aurora,Santa Rosa,1/19/2022,13:02,Belleza y cuidado personal,"239,9",4,PIX
157,Aurora,Santa Rosa,1/20/2022,18:27,Alimentos y bebidas,26,1,PayPal
156,Parque de las Naciones,El Carmen,1/20/2022,15:58,Belleza y cuidado personal,"62,9",4,Dinero
155,Aurora,Santa Rosa,1/20/2022,13:11,Casa y limpieza,"76,9",5,PayPal
150,Estrella,San Antonio,1/20/2022,16:42,Alimentos y bebidas,"11,9",2,PayPal
158,Parque de las Naciones,El Carmen,1/20/2022,13:35,Electrónicos,4531,4,PIX
151,Estrella,San Antonio,1/20/2022,13:53,Casa y limpieza,"43,9",3,Tarjeta
153,Parque de las Naciones,El Carmen,1/20/2022,9:35,Alimentos y bebidas,"60,9",4,Dinero
154,Parque de las Naciones,El Carmen,1/20/2022,19:39,Belleza y cuidado personal,"78,9",2,Tarjeta
152,Parque de las Naciones,El Carmen,1/20/2022,16:21,Alimentos y bebidas,18,3,PIX
167,Aurora,Santa Rosa,1/21/2022,16:31,Electrónicos,"3504,9",3,Dinero
166,Estrella,San Antonio,1/21/2022,13:28,Alimentos y bebidas,"25,9",3,Tarjeta
162,Aurora,Santa Rosa,1/21/2022,16:40,Alimentos y bebidas,"7,9",3,PIX
168,Estrella,San Antonio,1/21/2022,13:02,Casa y limpieza,"163,9",1,PIX
165,Aurora,Santa Rosa,1/21/2022,11:55,Libros,"149,9",2,PIX
159,Estrella,San Antonio,1/21/2022,17:15,Belleza y cuidado personal,"171,9",5,Tarjeta
164,Estrella,San Antonio,1/21/2022,17:53,Electrónicos,3617,2,Dinero
160,Aurora,Santa Rosa,1/21/2022,16:28,Libros,"59,9",1,Tarjeta
163,Estrella,San Antonio,1/21/2022,13:34,Electrónicos,3373,5,PayPal
161,Aurora,Santa Rosa,1/21/2022,19:52,Alimentos y bebidas,"90,9",4,PIX
174,Parque de las Naciones,El Carmen,1/22/2022,12:08,Alimentos y bebidas,"22,9",2,Dinero
173,Estrella,San Antonio,1/22/2022,16:38,Electrónicos,"2822,9",4,Tarjeta
169,Aurora,Santa Rosa,1/22/2022,18:11,Libros,101,2,Tarjeta
170,Aurora,Santa Rosa,1/22/2022,14:13,Casa y limpieza,88,1,Dinero
175,Estrella,San Antonio,1/22/2022,14:36,Casa y limpieza,"12,9",2,Tarjeta
171,Parque de las Naciones,El Carmen,1/22/2022,12:15,Belleza y cuidado personal,"134,9",1,PayPal
172,Parque de las Naciones,El Carmen,1/22/2022,12:49,Alimentos y bebidas,"14,9",4,PIX
176,Estrella,San Antonio,1/22/2022,13:04,Casa y limpieza,"123,9",2,Tarjeta
181,Estrella,San Antonio,1/24/2022,18:53,Electrónicos,"3063,9",2,Dinero
177,Aurora,Santa Rosa,1/24/2022,13:48,Libros,"29,9",1,PIX
183,Estrella,San Antonio,1/24/2022,13:34,Alimentos y bebidas,"39,9",4,PIX
180,Aurora,Santa Rosa,1/24/2022,9:36,Electrónicos,"5682,9",1,Tarjeta
182,Estrella,San Antonio,1/24/2022,13:47,Casa y limpieza,72,3,Tarjeta
178,Estrella,San Antonio,1/24/2022,17:32,Alimentos y bebidas,"40,9",5,PIX
185,Estrella,San Antonio,1/24/2022,16:39,Papelería y oficina,"4,9",2,Dinero
184,Aurora,Santa Rosa,1/24/2022,12:00,Alimentos y bebidas,"27,9",1,Tarjeta
179,Aurora,Santa Rosa,1/24/2022,12:28,Casa y limpieza,"182,9",2,Tarjeta
186,Parque de las Naciones,El Carmen,1/24/2022,12:22,Casa y limpieza,"23,9",5,Tarjeta
188,Aurora,Santa Rosa,1/25/2022,19:30,Belleza y cuidado personal,"59,9",1,PIX
196,Parque de las Naciones,El Carmen,1/25/2022,10:13,Belleza y cuidado personal,"62,9",2,PayPal
194,Aurora,Santa Rosa,1/25/2022,18:53,Belleza y cuidado personal,"161,9",4,PIX
195,Estrella,San Antonio,1/25/2022,19:42,Electrónicos,"6088,9",2,Tarjeta
187,Aurora,Santa Rosa,1/25/2022,16:37,Electrónicos,7225,3,PIX
192,Parque de las Naciones,El Carmen,1/25/2022,13:27,Alimentos y bebidas,"60,9",5,PIX
189,Aurora,Santa Rosa,1/25/2022,11:51,Alimentos y bebidas,"15,9",2,Dinero
191,Aurora,Santa Rosa,1/25/2022,18:12,Electrónicos,"3474,9",5,Tarjeta
197,Estrella,San Antonio,1/25/2022,18:13,Casa y limpieza,"96,9",5,Tarjeta
190,Parque de las Naciones,El Carmen,1/25/2022,17:04,Alimentos y bebidas,"61,9",4,PIX
198,Estrella,San Antonio,1/25/2022,19:18,Electrónicos,"2348,9",1,PIX
193,Parque de las Naciones,El Carmen,1/25/2022,10:38,Alimentos y bebidas,"86,9",4,PIX
199,Parque de las Naciones,El Carmen,1/26/2022,13:00,Papelería y oficina,"2,9",5,Tarjeta
202,Aurora,Santa Rosa,1/26/2022,16:44,Electrónicos,"7497,9",3,PIX
205,Aurora,Santa Rosa,1/26/2022,11:26,Alimentos y bebidas,"23,9",1,PIX
207,Estrella,San Antonio,1/26/2022,14:25,Belleza y cuidado personal,"201,9",1,Tarjeta
200,Estrella,San Antonio,1/26/2022,10:21,Belleza y cuidado personal,"40,9",3,Tarjeta
201,Aurora,Santa Rosa,1/26/2022,12:41,Casa y limpieza,"94,9",5,PIX
206,Estrella,San Antonio,1/26/2022,13:32,Papelería y oficina,"48,9",3,Tarjeta
204,Estrella,San Antonio,1/26/2022,14:48,Casa y limpieza,"10,9",4,PIX
203,Parque de las Naciones,El Carmen,1/26/2022,9:11,Papelería y oficina,"11,9",1,PIX
208,Aurora,Santa Rosa,1/26/2022,16:44,Papelería y oficina,"30,9",5,PayPal
212,Estrella,San Antonio,1/27/2022,18:09,Electrónicos,"5506,9",4,Tarjeta
211,Estrella,San Antonio,1/27/2022,13:56,Belleza y cuidado personal,"89,9",1,Tarjeta
220,Estrella,San Antonio,1/27/2022,16:25,Casa y limpieza,"193,9",4,PIX
215,Aurora,Santa Rosa,1/27/2022,17:14,Belleza y cuidado personal,"194,9",4,PIX
213,Aurora,Santa Rosa,1/27/2022,19:53,Belleza y cuidado personal,"200,9",2,Tarjeta
210,Aurora,Santa Rosa,1/27/2022,13:51,Electrónicos,"3650,9",4,Tarjeta
217,Estrella,San Antonio,1/27/2022,9:15,Papelería y oficina,"12,9",4,Tarjeta
216,Aurora,Santa Rosa,1/27/2022,11:27,Alimentos y bebidas,"55,9",4,Tarjeta
209,Parque de las Naciones,El Carmen,1/27/2022,18:57,Casa y limpieza,"123,9",4,Tarjeta
219,Parque de las Naciones,El Carmen,1/27/2022,16:21,Herramientas y construcción,"272,9",4,Tarjeta
218,Parque de las Naciones,El Carmen,1/27/2022,18:48,Alimentos y bebidas,"91,9",4,Tarjeta
214,Estrella,San Antonio,1/27/2022,16:56,Casa y limpieza,"40,9",4,PIX
224,Aurora,Santa Rosa,1/28/2022,15:14,Casa y limpieza,"72,9",4,PIX
228,Parque de las Naciones,El Carmen,1/28/2022,9:46,Papelería y oficina,"45,9",3,PayPal
225,Estrella,San Antonio,1/28/2022,12:20,Herramientas y construcción,"86,9",2,PIX
227,Parque de las Naciones,El Carmen,1/28/2022,19:53,Belleza y cuidado personal,"129,9",4,PIX
229,Estrella,San Antonio,1/28/2022,9:55,Alimentos y bebidas,"89,9",3,PIX
222,Parque de las Naciones,El Carmen,1/28/2022,13:26,Alimentos y bebidas,"61,9",2,PIX
223,Parque de las Naciones,El Carmen,1/28/2022,18:43,Casa y limpieza,"8,9",5,PIX
226,Parque de las Naciones,El Carmen,1/28/2022,17:34,Electrónicos,"3791,9",1,PayPal
221,Parque de las Naciones,El Carmen,1/28/2022,18:16,Belleza y cuidado personal,147,3,Tarjeta
240,Parque de las Naciones,El Carmen,1/29/2022,16:47,Herramientas y construcción,"289,9",5,PayPal
234,Estrella,San Antonio,1/29/2022,15:29,Electrónicos,"7094,9",4,PIX
232,Aurora,Santa Rosa,1/29/2022,17:53,Herramientas y construcción,"59,9",1,Tarjeta
241,Parque de las Naciones,El Carmen,1/29/2022,19:24,Electrónicos,"584,9",2,Tarjeta
233,Aurora,Santa Rosa,1/29/2022,10:53,Herramientas y construcción,"234,9",4,PIX
238,Estrella,San Antonio,1/29/2022,16:44,Casa y limpieza,"175,9",3,PIX
236,Estrella,San Antonio,1/29/2022,17:00,Electrónicos,"215,9",5,PIX
230,Parque de las Naciones,El Carmen,1/29/2022,19:40,Papelería y oficina,"17,9",4,PayPal
231,Estrella,San Antonio,1/29/2022,13:17,Alimentos y bebidas,"28,9",4,Tarjeta
237,Aurora,Santa Rosa,1/29/2022,13:51,Libros,"84,9",5,Tarjeta
235,Parque de las Naciones,El Carmen,1/29/2022,19:43,Belleza y cuidado personal,"214,9",5,PayPal
239,Parque de las Naciones,El Carmen,1/29/2022,18:01,Casa y limpieza,"98,9",1,PIX
245,Estrella,San Antonio,1/31/2022,18:06,Papelería y oficina,"7,9",4,PIX
246,Aurora,Santa Rosa,1/31/2022,16:47,Belleza y cuidado personal,"81,9",2,PIX
244,Parque de las Naciones,El Carmen,1/31/2022,13:52,Papelería y oficina,"24,9",5,PIX
249,Aurora,Santa Rosa,1/31/2022,14:26,Papelería y oficina,"8,9",1,PIX
250,Parque de las Naciones,El Carmen,1/31/2022,13:51,Alimentos y bebidas,"12,9",3,Tarjeta
252,Estrella,San Antonio,1/31/2022,18:51,Herramientas y construcción,203,1,PIX
251,Aurora,Santa Rosa,1/31/2022,17:33,Belleza y cuidado personal,"21,9",4,Dinero
247,Aurora,Santa Rosa,1/31/2022,12:18,Alimentos y bebidas,"27,9",1,PIX
248,Aurora,Santa Rosa,1/31/2022,10:17,Belleza y cuidado personal,"126,9",5,Dinero
242,Estrella,San Antonio,1/31/2022,18:01,Papelería y oficina,"28,9",4,PIX
243,Parque de las Naciones,El Carmen,1/31/2022,12:51,Electrónicos,"4409,9",5,Tarjeta
258,Parque de las Naciones,El Carmen,2/1/2022,17:59,Alimentos y bebidas,"72,9",3,PIX
254,Estrella,San Antonio,2/1/2022,16:07,Belleza y cuidado personal,"108,9",4,Tarjeta
257,Aurora,Santa Rosa,2/1/2022,15:23,Herramientas y construcción,164,4,Tarjeta
259,Parque de las Naciones,El Carmen,2/1/2022,16:38,Herramientas y construcción,"66,9",2,Tarjeta
255,Aurora,Santa Rosa,2/1/2022,14:21,Papelería y oficina,22,4,PIX
253,Parque de las Naciones,El Carmen,2/1/2022,17:45,Electrónicos,"5915,9",3,PIX
260,Estrella,San Antonio,2/1/2022,12:40,Alimentos y bebidas,"92,9",2,PIX
256,Aurora,Santa Rosa,2/1/2022,19:59,Electrónicos,"7901,9",1,PayPal
267,Parque de las Naciones,El Carmen,2/2/2022,17:40,Electrónicos,"1145,9",3,Tarjeta
263,Aurora,Santa Rosa,2/2/2022,16:22,Belleza y cuidado personal,"72,9",2,Tarjeta
261,Parque de las Naciones,El Carmen,2/2/2022,18:03,Belleza y cuidado personal,"245,9",1,Tarjeta
264,Aurora,Santa Rosa,2/2/2022,13:49,Casa y limpieza,"155,9",1,PIX
266,Aurora,Santa Rosa,2/2/2022,17:23,Belleza y cuidado personal,"102,9",5,Tarjeta
268,Parque de las Naciones,El Carmen,2/2/2022,15:12,Alimentos y bebidas,"53,9",4,PIX
265,Aurora,Santa Rosa,2/2/2022,15:17,Belleza y cuidado personal,"17,9",3,PayPal
262,Parque de las Naciones,El Carmen,2/2/2022,14:11,Casa y limpieza,"27,9",2,Tarjeta
272,Parque de las Naciones,El Carmen,2/3/2022,17:08,Herramientas y construcción,"319,9",5,Tarjeta
270,Estrella,San Antonio,2/3/2022,14:11,Alimentos y bebidas,95,4,Tarjeta
275,Aurora,Santa Rosa,2/3/2022,10:09,Electrónicos,"1652,9",4,Tarjeta
269,Parque de las Naciones,El Carmen,2/3/2022,12:55,Alimentos y bebidas,"12,9",5,Tarjeta
277,Estrella,San Antonio,2/3/2022,12:44,Alimentos y bebidas,"23,9",2,PIX
273,Aurora,Santa Rosa,2/3/2022,13:41,Casa y limpieza,"155,9",4,PIX
274,Estrella,San Antonio,2/3/2022,9:50,Electrónicos,"2682,9",2,PIX
271,Aurora,Santa Rosa,2/3/2022,17:12,Belleza y cuidado personal,"184,9",3,Tarjeta
276,Aurora,Santa Rosa,2/3/2022,17:03,Casa y limpieza,"112,9",1,Tarjeta
284,Parque de las Naciones,El Carmen,2/4/2022,13:26,Electrónicos,"3084,9",4,Tarjeta
278,Estrella,San Antonio,2/4/2022,15:37,Alimentos y bebidas,"94,9",4,Tarjeta
282,Aurora,Santa Rosa,2/4/2022,18:09,Alimentos y bebidas,"18,9",1,Tarjeta
285,Aurora,Santa Rosa,2/4/2022,14:59,Electrónicos,"5288,9",5,PIX
280,Estrella,San Antonio,2/4/2022,18:27,Alimentos y bebidas,"86,9",3,Dinero
283,Parque de las Naciones,El Carmen,2/4/2022,11:12,Libros,"85,9",4,Tarjeta
281,Estrella,San Antonio,2/4/2022,12:01,Belleza y cuidado personal,"189,9",3,Dinero
279,Estrella,San Antonio,2/4/2022,14:40,Herramientas y construcción,296,5,Tarjeta
288,Estrella,San Antonio,2/5/2022,16:11,Alimentos y bebidas,"7,9",5,Tarjeta
291,Parque de las Naciones,El Carmen,2/5/2022,18:25,Belleza y cuidado personal,"131,9",5,PayPal
287,Estrella,San Antonio,2/5/2022,16:25,Alimentos y bebidas,"82,9",1,Tarjeta
